OrderID,OrderDate,ProductID,CustomerID,RegionID,ChannelID,Quantity,UnitPrice,UnitCost,DiscountAmount,NetRevenue,TotalCost,Profit
56,2022-12-16,16,100,5,3,4,499.23,265.37,213.48,1783.44,1061.5,721.95
57,2022-08-20,17,20,2,1,10,127.08,73.67,223.04,1047.72,736.71,311.0
58,2022-08-30,16,9,1,1,1,28.12,21.64,2.33,25.78,21.64,4.14
59,2022-12-30,22,63,5,3,3,326.72,185.9,34.35,945.79,557.71,388.08
60,2024-09-06,32,100,4,1,7,303.95,166.77,135.53,1992.09,1167.39,824.7
61,2024-03-01,31,22,1,1,5,265.01,150.37,94.62,1230.42,751.83,478.59
62,2024-01-29,47,56,2,1,4,20.37,13.16,9.07,72.41,52.63,19.78
63,2023-12-07,7,39,3,2,9,203.08,146.05,159.62,1668.09,1314.44,353.65
64,2022-06-26,7,66,5,3,6,168.88,115.12,112.12,901.15,690.73,210.42
65,2022-01-30,31,51,5,3,5,354.89,282.63,236.38,1538.08,1413.16,124.92
66,2022-03-22,28,57,4,2,9,148.91,83.91,34.16,1306.03,755.15,550.88
67,2024-12-02,3,91,2,2,3,182.89,131.18,83.68,464.98,393.53,71.45
68,2024-12-07,15,59,2,1,1,450.35,276.64,60.39,389.97,276.64,113.33
69,2022-06-01,49,87,4,2,6,32.05,22.02,14.89,177.38,132.15,45.24
70,2023-04-04,35,71,4,3,5,442.73,287.17,371.59,1842.05,1435.84,406.21
71,2024-10-27,34,81,5,1,10,276.51,209.16,543.4,2221.67,2091.63,130.04
72,2023-12-25,23,48,3,3,4,264.29,210.95,85.57,971.6,843.81,127.8
73,2022-12-31,25,80,1,1,2,420.17,226.54,73.95,766.39,453.08,313.31
74,2023-07-12,36,5,4,3,9,163.14,98.71,268.64,1199.65,888.36,311.29
75,2022-10-21,41,26,5,2,10,310.52,204.39,91.34,3013.84,2043.89,969.94
76,2024-12-15,43,61,3,2,2,79.93,58.13,14.63,145.23,116.27,28.97
77,2024-03-14,14,95,1,3,8,434.59,232.47,222.39,3254.29,1859.72,1394.57
78,2022-08-16,7,67,5,2,4,399.95,276.66,235.32,1364.46,1106.65,257.81
79,2022-02-07,47,60,2,3,2,73.16,53.23,14.4,131.93,106.47,25.47
80,2024-08-20,17,70,4,1,9,36.39,26.33,60.02,267.52,236.94,30.58
81,2024-09-22,37,85,5,3,4,496.62,393.06,333.36,1653.11,1572.22,80.89
82,2023-01-01,25,76,5,1,5,152.6,94.35,9.74,753.27,471.76,281.52
83,2022-03-05,38,100,4,1,6,103.08,55.65,52.88,565.6,333.92,231.68
84,2022-01-10,15,5,5,3,10,63.49,37.37,123.74,511.21,373.75,137.46
85,2022-08-21,5,2,2,3,5,123.56,69.52,73.85,543.97,347.6,196.38
86,2022-10-17,17,21,1,2,7,145.74,105.64,150.43,869.72,739.49,130.24
87,2023-11-29,20,21,4,1,3,415.22,245.9,247.71,997.95,737.69,260.25
88,2023-08-16,32,77,3,1,10,124.94,79.01,247.01,1002.41,790.06,212.35
89,2024-07-24,5,54,4,3,5,157.43,91.8,134.25,652.93,459.01,193.92
90,2023-02-27,36,76,3,2,10,471.64,284.21,104.62,4611.82,2842.14,1769.68
91,2024-10-14,9,100,3,3,5,406.4,279.03,196.42,1835.58,1395.17,440.42
92,2022-08-16,25,11,4,2,6,492.58,308.22,530.12,2425.35,1849.33,576.02
93,2022-08-11,49,15,1,1,1,165.37,122.22,26.86,138.52,122.22,16.29
94,2024-01-27,8,66,2,2,9,144.49,83.84,49.66,1250.78,754.56,496.22
95,2023-02-01,33,54,5,3,3,83.85,60.26,41.73,209.81,180.79,29.02
96,2022-02-28,21,40,5,1,3,274.12,165.17,59.25,763.12,495.5,267.63
97,2024-10-30,19,29,3,2,2,37.06,25.79,2.76,71.36,51.58,19.77
98,2023-05-03,20,32,5,1,7,343.04,237.89,11.28,2390.01,1665.22,724.78
99,2023-04-02,44,16,5,1,9,242.68,128.87,280.13,1903.95,1159.81,744.13
100,2022-01-25,39,56,2,3,7,251.81,137.96,163.69,1598.95,965.75,633.2
101,2023-12-17,1,64,2,2,6,411.46,283.25,21.43,2447.31,1699.49,747.82
102,2022-06-01,19,99,5,1,3,118.98,69.21,64.88,292.05,207.63,84.43
103,2022-04-01,41,2,3,3,9,297.8,175.94,167.99,2512.17,1583.49,928.68
104,2022-03-11,30,43,1,2,3,223.27,115.66,71.04,598.76,346.99,251.77
105,2022-12-10,16,49,3,1,9,138.08,110.13,17.35,1225.36,991.21,234.15
106,2022-01-14,46,39,2,3,5,77.48,47.41,14.1,373.29,237.04,136.25
107,2022-01-11,31,26,5,2,1,140.09,85.87,20.6,119.48,85.87,33.61
108,2024-02-16,41,4,3,1,2,173.67,91.59,22.98,324.36,183.18,141.18
109,2022-11-28,6,48,4,2,9,286.45,167.88,161.82,2416.24,1510.93,905.31
110,2023-01-21,13,41,3,3,8,114.65,61.74,164.86,752.31,493.93,258.39
111,2022-08-20,39,38,3,3,6,196.79,143.91,3.93,1176.8,863.43,313.37
112,2024-09-08,39,61,2,2,4,398.64,251.6,309.36,1285.2,1006.41,278.8
113,2023-09-23,24,78,1,1,2,474.38,297.68,7.86,940.9,595.36,345.54
114,2022-06-14,25,92,1,3,6,393.56,222.86,404.0,1957.36,1337.15,620.21
115,2022-07-23,38,86,4,1,6,287.84,215.24,120.43,1606.59,1291.42,315.18
116,2022-08-20,29,35,3,1,10,315.72,194.31,346.36,2810.81,1943.1,867.72
117,2022-12-02,3,85,3,3,7,422.3,277.46,30.79,2925.33,1942.19,983.14
118,2022-10-22,24,13,1,2,8,134.05,83.25,57.47,1014.91,665.99,348.92
119,2023-12-14,32,61,4,3,4,440.83,319.8,177.15,1586.19,1279.19,307.0
120,2022-05-13,9,25,5,2,2,357.35,247.75,6.16,708.54,495.51,213.03
121,2024-08-29,16,53,5,1,7,104.86,59.55,141.57,592.47,416.83,175.64
122,2022-03-23,33,60,5,1,6,286.31,204.35,279.03,1438.8,1226.13,212.67
123,2024-02-12,48,45,2,2,3,113.66,82.37,20.15,320.84,247.11,73.73
124,2023-11-04,16,93,2,2,5,478.53,370.63,284.2,2108.45,1853.14,255.3
125,2022-08-10,36,13,4,2,5,226.38,141.44,14.86,1117.06,707.19,409.86
126,2024-08-10,37,92,1,3,2,214.31,145.71,56.32,372.29,291.41,80.88
127,2022-04-24,33,43,4,1,3,211.53,110.18,71.6,563.0,330.54,232.46
128,2023-02-16,44,67,4,1,10,481.25,301.15,824.25,3988.26,3011.49,976.77
129,2024-11-01,16,48,3,2,2,441.65,280.36,45.53,837.76,560.72,277.05
130,2023-08-13,46,83,2,3,1,282.03,180.45,28.81,253.22,180.45,72.77
131,2022-11-13,24,72,4,2,9,260.13,144.64,433.1,1908.08,1301.74,606.34
132,2023-01-19,41,85,2,2,1,349.88,278.15,34.45,315.43,278.15,37.28
133,2024-09-18,28,33,5,1,1,237.99,185.3,25.3,212.7,185.3,27.4
134,2022-05-27,14,81,5,2,4,267.4,135.93,88.37,981.24,543.72,437.52
135,2024-02-07,37,47,1,1,4,439.58,235.76,257.14,1501.19,943.02,558.17
136,2022-01-13,13,86,5,2,1,258.31,178.56,40.52,217.79,178.56,39.23
137,2023-06-27,46,89,5,2,10,248.26,150.17,304.21,2178.36,1501.65,676.7
138,2022-12-25,10,61,2,1,9,139.04,101.76,136.65,1114.67,915.81,198.87
139,2022-03-01,14,13,3,1,1,57.44,32.56,5.43,52.01,32.56,19.46
140,2024-03-27,44,46,1,2,10,464.08,267.83,549.34,4091.44,2678.3,1413.14
141,2022-02-20,45,16,2,1,9,29.78,16.19,1.11,266.87,145.74,121.13
142,2024-02-11,22,32,2,1,7,251.5,170.62,57.96,1702.53,1194.34,508.19
143,2024-08-02,44,95,3,2,4,365.5,190.96,273.02,1188.96,763.85,425.11
144,2022-10-20,2,24,5,2,3,143.5,107.26,44.41,386.08,321.78,64.3
145,2023-04-27,48,11,2,3,4,310.21,215.34,149.12,1091.71,861.34,230.37
146,2023-01-15,22,53,5,2,10,73.02,53.37,52.1,678.07,533.75,144.32
147,2022-06-29,20,98,5,1,8,166.13,95.93,174.7,1154.35,767.43,386.91
148,2022-12-23,11,91,4,3,2,89.79,56.97,2.38,177.2,113.95,63.25
149,2024-06-01,49,57,5,3,8,133.09,91.12,78.21,986.5,728.98,257.52
150,2024-07-27,29,6,1,3,7,300.96,188.04,203.12,1903.63,1316.27,587.36
151,2024-01-15,28,66,1,3,5,211.31,138.44,95.16,961.41,692.19,269.22
152,2022-03-28,24,50,2,3,1,43.64,22.83,5.19,38.45,22.83,15.62
153,2024-03-12,33,60,3,2,2,301.31,173.47,84.22,518.41,346.95,171.46
154,2023-08-10,2,74,5,1,7,190.02,133.36,173.42,1156.75,933.55,223.19
155,2022-06-24,21,14,5,3,6,129.18,73.23,64.58,710.48,439.41,271.08
156,2024-06-18,3,25,2,3,8,286.0,155.25,18.53,2269.44,1241.97,1027.47
157,2023-05-22,5,9,1,1,8,451.7,322.59,369.77,3243.83,2580.75,663.09
158,2023-10-08,45,77,4,2,9,207.62,163.17,118.14,1750.48,1468.51,281.97
159,2024-04-25,19,81,1,2,8,258.48,149.78,273.35,1794.53,1198.21,596.32
160,2024-06-01,34,23,2,3,7,219.98,116.69,98.34,1441.54,816.82,624.71
161,2024-11-15,37,72,2,3,10,312.57,200.85,74.62,3051.08,2008.48,1042.6
162,2023-02-25,35,46,2,2,5,68.48,39.23,66.41,276.0,196.15,79.85
163,2023-12-31,3,56,3,3,4,458.98,266.72,22.13,1813.81,1066.89,746.92
164,2022-11-07,35,59,4,2,2,88.0,54.24,22.88,153.12,108.48,44.64
165,2023-11-02,7,93,2,3,7,435.44,314.29,331.82,2716.25,2200.01,516.24
166,2024-03-19,31,56,2,1,8,108.29,84.19,149.46,716.83,673.52,43.31
167,2022-12-07,16,67,4,3,9,83.98,51.7,96.43,659.42,465.33,194.09
168,2023-08-24,48,88,3,3,9,411.76,213.94,667.5,3038.32,1925.44,1112.88
169,2024-12-08,5,97,2,3,2,469.2,289.48,121.33,817.07,578.97,238.1
170,2024-04-10,34,56,3,3,6,281.9,178.22,167.79,1523.59,1069.3,454.29
171,2022-03-01,14,92,4,3,1,275.51,154.23,24.52,250.99,154.23,96.76
172,2022-02-15,28,98,3,3,4,386.18,220.1,132.77,1411.96,880.4,531.56
173,2024-01-16,39,66,3,2,3,136.05,87.56,66.37,341.77,262.68,79.09
174,2022-03-15,45,42,4,2,9,475.15,342.48,474.05,3802.33,3082.33,720.0
175,2024-01-22,3,62,3,1,2,298.76,221.58,108.37,489.16,443.17,45.99
176,2024-12-19,35,43,5,1,7,197.34,156.82,64.67,1316.7,1097.76,218.94
177,2024-03-18,36,47,4,3,7,21.79,17.33,12.27,140.26,121.31,18.95
178,2022-08-11,46,12,3,2,1,416.75,244.51,22.66,394.08,244.51,149.58
179,2023-05-08,37,87,1,1,10,168.17,98.94,55.82,1625.85,989.43,636.42
180,2024-01-12,39,11,2,1,6,153.88,77.4,105.58,817.72,464.42,353.29
181,2022-11-06,32,22,2,3,10,203.69,102.35,368.64,1668.26,1023.51,644.76
182,2024-01-06,50,86,1,3,1,449.41,268.87,32.15,417.27,268.87,148.4
183,2024-06-11,50,57,1,2,8,180.55,103.87,118.37,1325.99,830.93,495.06
184,2024-06-02,9,30,1,2,2,352.34,273.82,85.47,619.21,547.64,71.57
185,2024-08-16,25,26,1,2,9,367.62,238.55,533.75,2774.79,2146.97,627.82
186,2023-10-11,47,82,4,3,5,462.93,243.94,253.34,2061.32,1219.68,841.63
187,2023-08-12,20,12,2,3,8,320.66,169.03,16.19,2549.13,1352.25,1196.88
188,2023-06-21,30,11,3,1,3,468.42,298.02,109.23,1296.02,894.05,401.97
189,2024-07-16,42,63,4,2,9,259.85,140.48,376.02,1962.67,1264.36,698.31
190,2023-04-01,6,36,4,1,3,103.89,67.73,6.02,305.65,203.2,102.45
191,2024-09-16,2,79,1,2,3,187.57,126.87,6.94,555.76,380.6,175.16
192,2024-09-19,13,10,1,3,3,57.54,31.56,27.3,145.34,94.67,50.66
193,2022-10-17,49,82,5,2,1,195.09,150.75,32.5,162.59,150.75,11.83
194,2022-11-09,29,90,3,3,3,325.89,169.48,144.71,832.97,508.44,324.54
195,2024-11-18,48,24,3,1,4,482.34,269.84,201.47,1727.88,1079.36,648.51
196,2022-03-14,19,4,1,1,2,306.52,159.36,13.16,599.88,318.72,281.16
197,2023-10-06,47,70,5,2,8,229.4,167.26,27.99,1807.18,1338.08,469.1
198,2023-10-07,13,64,1,1,8,334.02,222.09,334.97,2337.15,1776.69,560.46
199,2022-07-26,45,91,3,1,3,185.18,102.94,98.37,457.18,308.83,148.35
200,2024-03-12,4,54,3,2,5,44.41,22.68,37.3,184.74,113.4,71.33
201,2022-04-17,39,24,5,2,6,323.35,180.52,114.91,1825.2,1083.09,742.11
202,2022-07-24,6,14,3,3,8,20.18,11.54,29.81,131.64,92.32,39.32
203,2022-08-29,44,28,4,3,6,245.08,171.55,291.16,1179.32,1029.33,149.99
204,2024-02-01,48,71,4,3,4,78.8,58.99,34.08,281.13,235.94,45.19
205,2024-09-20,13,25,2,2,3,373.09,259.71,49.86,1069.4,779.12,290.28
206,2023-08-07,30,79,3,1,3,169.27,119.93,52.29,455.53,359.8,95.73
207,2023-11-02,5,35,3,3,2,120.85,63.58,9.29,232.41,127.17,105.25
208,2022-04-13,27,35,1,2,7,407.57,228.29,475.49,2377.52,1598.0,779.52
209,2022-01-11,10,82,3,3,9,144.18,111.34,124.66,1172.95,1002.09,170.86
210,2022-07-23,15,75,4,3,8,46.36,27.77,70.64,300.2,222.12,78.08
211,2024-09-06,4,60,2,1,2,486.02,386.5,87.5,884.53,772.99,111.54
212,2024-11-01,47,51,5,2,9,147.88,109.77,176.16,1154.78,987.93,166.86
213,2024-10-25,12,64,2,1,8,336.07,196.41,170.67,2517.9,1571.24,946.65
214,2023-06-17,34,34,5,3,6,233.6,116.99,17.64,1383.97,701.94,682.03
215,2022-02-26,46,1,3,1,1,139.0,95.26,4.6,134.41,95.26,39.15
216,2024-05-18,19,55,1,1,5,431.8,218.69,16.27,2142.72,1093.45,1049.27
217,2023-11-15,42,46,5,1,7,486.96,297.71,141.07,3267.61,2083.98,1183.64
218,2022-09-29,11,61,1,3,4,415.24,320.44,198.45,1462.52,1281.75,180.77
219,2024-08-07,31,41,1,3,1,413.72,211.26,2.77,410.95,211.26,199.69
220,2024-12-17,49,12,2,1,9,109.38,68.59,57.91,926.46,617.34,309.12
221,2024-12-20,23,44,5,1,8,262.05,209.06,62.97,2033.46,1672.46,361.0
222,2024-02-13,24,15,1,2,3,390.35,205.89,153.9,1017.16,617.67,399.49
223,2023-01-23,8,81,1,2,8,143.94,95.39,106.41,1045.08,763.14,281.94
224,2024-04-04,20,1,2,2,8,310.27,244.37,187.94,2294.19,1954.93,339.26
225,2022-12-16,1,75,3,2,10,293.3,196.38,457.25,2475.71,1963.82,511.89
226,2023-05-17,41,48,3,2,7,182.3,116.99,32.02,1244.1,818.91,425.19
227,2023-03-23,30,63,3,2,10,368.15,268.19,445.07,3236.39,2681.89,554.49
228,2022-05-20,31,40,4,3,7,154.61,87.26,215.59,866.64,610.85,255.8
229,2024-11-05,38,95,5,2,5,141.44,81.86,72.71,634.51,409.29,225.21
230,2023-04-22,6,92,1,1,3,176.52,121.57,13.4,516.16,364.7,151.46
231,2022-06-19,23,39,5,2,10,198.53,118.4,385.72,1599.59,1184.04,415.55
232,2022-02-20,5,61,5,3,2,353.2,193.42,44.0,662.41,386.83,275.57
233,2023-12-07,29,42,1,3,7,142.41,80.66,197.87,799.01,564.61,234.4
234,2023-05-03,11,67,2,1,2,423.4,222.71,139.49,707.3,445.42,261.88
235,2023-06-14,20,83,1,3,5,475.67,288.93,253.68,2124.66,1444.67,680.0
236,2024-10-22,15,95,5,1,1,222.04,164.64,3.21,218.83,164.64,54.19
237,2023-12-12,18,100,5,1,8,324.35,216.58,314.4,2280.37,1732.62,547.75
238,2022-01-13,50,15,4,3,2,171.17,95.12,66.12,276.22,190.24,85.99
239,2023-02-04,16,12,1,1,8,240.54,141.99,23.13,1901.17,1135.92,765.25
240,2024-01-19,45,41,2,1,3,328.26,252.34,176.61,808.18,757.02,51.16
241,2022-03-27,39,53,4,3,1,157.3,98.07,19.53,137.77,98.07,39.7
242,2022-04-04,19,71,4,1,3,45.51,26.59,26.37,110.15,79.77,30.38
243,2023-05-08,29,16,1,3,6,275.3,185.51,231.17,1420.62,1113.07,307.55
244,2023-01-23,22,8,5,1,4,396.78,213.75,127.46,1459.67,854.99,604.68
245,2024-01-11,39,25,5,1,8,144.09,86.81,133.32,1019.39,694.51,324.88
246,2022-10-04,49,10,3,3,3,214.26,120.61,126.85,515.94,361.84,154.11
247,2022-09-14,8,10,1,2,6,249.11,140.24,104.94,1389.71,841.42,548.28
248,2023-04-22,41,49,1,2,9,191.81,121.08,54.73,1671.57,1089.72,581.84
249,2024-09-29,33,91,5,2,9,166.47,123.27,65.81,1432.47,1109.42,323.05
250,2024-11-18,30,46,1,1,4,375.39,289.88,138.72,1362.86,1159.52,203.33
251,2023-12-16,14,79,3,3,6,156.05,99.71,147.22,789.06,598.24,190.82
252,2024-01-28,23,48,5,3,2,484.09,267.17,61.19,906.99,534.33,372.66
253,2023-03-20,33,18,3,2,9,28.58,19.38,36.16,221.09,174.39,46.7
254,2024-08-05,33,67,5,1,3,339.55,214.39,83.05,935.61,643.16,292.44
255,2024-02-24,37,83,2,1,3,95.14,59.76,19.34,266.08,179.27,86.81
256,2022-10-07,11,84,3,1,9,484.5,319.07,777.06,3583.43,2871.64,711.79
257,2023-11-20,13,91,1,1,10,486.3,363.18,28.87,4834.16,3631.83,1202.33
258,2022-02-12,36,62,4,1,6,180.1,137.32,55.32,1025.27,823.93,201.34
259,2024-12-01,49,79,4,1,4,188.56,128.05,18.38,735.85,512.2,223.65
260,2022-11-28,33,19,4,2,9,147.03,97.62,169.96,1153.27,878.58,274.69
261,2022-05-30,32,45,3,2,8,38.05,26.38,57.16,247.28,211.05,36.23
262,2022-02-01,45,64,2,1,2,101.31,61.03,29.75,172.86,122.05,50.81
263,2023-06-09,44,4,4,3,5,446.86,289.07,170.34,2063.99,1445.34,618.65
264,2024-03-21,21,47,2,1,2,334.7,227.13,83.17,586.24,454.27,131.97
265,2023-02-08,10,93,4,2,7,110.73,57.04,96.83,678.25,399.25,279.01
266,2022-03-14,28,5,2,2,9,209.42,127.74,242.17,1642.58,1149.64,492.94
267,2023-08-30,43,81,1,2,5,277.5,152.74,134.56,1252.92,763.7,489.21
268,2022-04-12,3,54,4,2,2,26.0,18.03,2.3,49.69,36.06,13.63
269,2022-09-18,29,78,4,3,5,63.28,39.04,7.41,308.98,195.21,113.77
270,2024-10-21,4,31,4,2,5,314.98,163.78,106.28,1468.63,818.91,649.72
271,2022-10-22,32,58,3,3,1,168.86,131.16,24.91,143.96,131.16,12.8
272,2022-01-12,32,79,5,1,9,483.07,322.84,218.85,4128.8,2905.56,1223.24
273,2023-01-16,39,76,5,3,3,484.5,312.3,266.14,1187.36,936.89,250.47
274,2024-08-25,34,38,1,1,4,357.76,269.18,283.36,1147.69,1076.73,70.96
275,2023-10-27,2,16,1,2,8,267.29,202.12,355.34,1782.96,1616.96,166.0
276,2022-11-13,17,19,4,3,6,271.84,183.6,204.67,1426.36,1101.63,324.74
277,2022-11-05,24,34,4,2,5,417.7,240.2,297.83,1790.68,1201.01,589.67
278,2023-02-13,38,95,1,3,6,456.43,276.18,434.33,2304.27,1657.07,647.2
279,2024-09-20,1,28,4,3,2,458.24,349.87,131.96,784.52,699.73,84.79
280,2024-10-19,13,49,3,1,3,48.67,27.03,6.22,139.81,81.09,58.71
281,2024-04-06,5,23,1,2,10,82.83,50.26,20.02,808.29,502.6,305.69
282,2023-10-22,40,26,3,1,3,121.19,91.96,12.1,351.48,275.89,75.59
283,2024-08-20,2,78,3,2,4,340.92,228.04,125.98,1237.72,912.17,325.56
284,2023-08-20,10,4,5,3,4,336.34,185.87,181.43,1163.94,743.5,420.45
285,2022-09-18,9,99,2,3,9,199.33,107.25,138.02,1655.99,965.28,690.71
286,2023-07-25,33,88,2,1,7,75.91,57.74,47.86,483.53,404.19,79.35
287,2023-04-21,5,1,3,1,3,21.54,15.73,0.02,64.61,47.19,17.43
288,2022-12-12,16,85,3,3,3,333.0,205.67,113.96,885.04,617.0,268.04
289,2024-09-02,20,69,2,1,9,231.84,139.29,278.47,1808.1,1253.57,554.54
290,2023-11-02,12,3,2,2,8,401.02,204.86,421.74,2786.39,1638.91,1147.48
291,2022-07-02,9,31,5,2,10,415.61,222.62,529.21,3626.88,2226.18,1400.7
292,2022-02-08,2,78,5,1,4,451.05,283.02,331.04,1473.16,1132.1,341.07
293,2023-12-06,20,52,1,2,7,457.89,258.18,495.05,2710.18,1807.27,902.91
294,2022-08-09,24,88,1,3,10,48.46,37.58,20.42,464.19,375.8,88.38
295,2022-08-12,26,65,4,3,4,227.66,136.42,148.37,762.26,545.66,216.6
296,2022-07-17,26,89,2,1,3,404.98,279.36,29.64,1185.31,838.08,347.22
297,2024-11-26,13,82,2,2,10,340.9,232.69,564.6,2844.37,2326.87,517.51
298,2022-06-09,33,12,5,1,9,340.77,238.59,156.48,2910.47,2147.3,763.17
299,2024-01-01,40,94,4,2,5,488.28,306.67,213.0,2228.39,1533.33,695.06
300,2022-07-13,11,8,5,2,3,459.29,285.62,57.99,1319.88,856.87,463.01
301,2024-04-19,8,84,4,3,8,218.77,148.49,126.47,1623.71,1187.89,435.81
302,2023-02-25,47,20,5,3,1,140.97,90.01,3.17,137.8,90.01,47.79
303,2024-07-07,46,23,3,3,3,400.62,206.77,3.18,1198.68,620.32,578.36
304,2022-02-21,20,68,1,3,5,261.77,164.09,53.15,1255.7,820.44,435.26
305,2023-02-04,35,99,5,2,6,469.6,235.64,301.57,2516.02,1413.82,1102.2
306,2023-03-17,34,29,5,2,9,354.13,252.86,91.3,3095.86,2275.73,820.13
307,2022-06-05,44,41,4,1,6,429.21,296.39,463.97,2111.3,1778.33,332.97
308,2023-05-21,44,59,4,2,8,355.02,281.7,374.93,2465.24,2253.61,211.63
309,2024-03-10,43,95,4,1,9,364.66,202.4,404.66,2877.31,1821.6,1055.71
310,2022-12-08,11,83,3,1,4,170.2,132.98,7.68,673.13,531.91,141.21
311,2022-01-08,28,19,2,1,3,363.46,189.57,174.18,916.2,568.71,347.49
312,2024-07-04,30,98,3,2,1,412.19,277.59,47.47,364.72,277.59,87.13
313,2023-05-17,41,39,1,1,3,406.22,288.91,87.42,1131.24,866.73,264.51
314,2023-12-23,27,47,3,3,5,196.45,106.33,110.09,872.18,531.63,340.55
